album,title
ISTJ - The 3rd Album,10
IM HERO,10
"NewJeans 2nd EP ""Get Up""",6
UNFORGIVEN,2
CHARLIE,2
"I""ve IVE",2
"NewJeans ""OMG""",2
I feel,2
Polaroid,2
"NewJeans 1st EP ""New Jeans""",2
다정히 내 이름을 부르면 (경서예지 x 전건호),1
모래 알갱이,1
나에게 그대만이,1
내일은 미스터트롯 우승자 특전곡,1
별에서 온 그대 OST Part.7,1
on the street (with J. Cole),1
YOUTH IN THE SHADE,1
"YOUNHA 6th Album Repackage ""END THEORY : Final Edition""",1
YOU NEVER WALK ALONE,1
The Planet,1
물론,1
1집 Alone,1
"부석순 1st Single Album ""SECOND WIND""",1
삼남매가 용감하게 OST Part.1,1
취중고백,1
잠깐 시간 될까,1
"잘 지내자, 우리 (여름날 우리 X 로이킴)",1
심(心),1
신사와 아가씨 OST Part.2,1
시작은 첫키스 OST Part.1,1
사실말야내가말야그게그러니까말이야,1
빛이 나는 너에게,1
사막에서 꽃을 피우듯,1
사랑하지 않아서 그랬어,1
사랑인가 봐 (사내맞선 OST 스페셜 트랙),1
사랑의 바보,1
사랑..그게 뭔데,1
That’s Not How This Works (feat. Dan + Shay),1
The Beginning: Cupid,1
Steal The Show (From “엘리멘탈”),1
Teddy Bear,1
Take Two,1
After LIKE,1
Butter,1
Butter / Permission to Dance,1
Candy - Winter Special Mini Album,1
D-DAY,1
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],1
Dynamite (DayTime Version),1
EXIST - The 7th Album,1
FACE,1
Golden Hourglass,1
H1-KEY 1st Mini Album [Rose Blossom],1
I NEVER DIE,1
I love,1
LOVE DIVE,1
ME,1
MY WORLD - The 3rd Mini Album,1
Monologue,1
NIGHT DANCER,1
Nine Track Mind (Deluxe Edition),1
ONGOING,1
Over The Moon,1
"SEVENTEEN 10th Mini Album ‘FML""",1
Seven (feat. Latto) - Clean Ver.,1
Stay,1
ANTIFRAGILE,1
Still With You,1
Summer,1
해요 (2022),1
