제목,내용,시간
파이썬 교육? 이것만 배우면 PYTHON 전문가!,21세기 현재 4차 산업시대가 빠르게 스며들면서- 빅 데이터의 세계도 빠르게 확장하고 있습니다. '데이터'의 가치가 무엇보다 중요해지면서 'Data'...,2023.07.28.
고려대 박사 교수님의 파이썬 명강의로 완벽 마스터!,회로이론은 전기공학- 전자공학- 통신공학 등의공학 분야에서 가장 중요한 기초 전공 과목입니다.과목을 이해하기 어려운 분들을 위해단국대 전자정보통신학과 교수님의회로이론 강의에 대해 소개해드리겠습니다....,2023.06.02.
파이썬 학원 개발자 되기 위한 준비과정,그 중에서도 코딩 관련 분야가 인기가 많은 것 같아서 파이썬 학원을 다니기 시작했어요. 수업은 총 2개월... 파이썬 학원에서는 입문 단계에서 시작해서 중급 과정까지 끌어 올려주는 커리큘럼이 있어서 충분히 다닐 수...,2023.07.21.
파이썬 학원 교육과정과 학습 후기,특히 IT 관련 이슈가 끊이지 않는 요즘에는 교육- 의료- 제조 분야를 막론하고 융합 기술이 사용되어서 더욱 좋겠다고 생각했는데 그중에서도 파이썬 학원을 선택했습니다. 제가 파이썬 학원을 선택한 이유로는 여러 가지...,5일 전
chatgpt 시대에 파이썬 독학을 위한 책 추천- 코딩은 처음이라 파이썬!,오랜 시간 끝에 드디어 파이썬 독학을 위한 파이썬 책- 코딩은 처음이라 with 파이썬이 출간 되었습니다. 네~ 맞습니다. 제가 쓴 책 입니다. 그 동안 책을 쓰며 블로그에 글도 못 쓰고 영상 강좌 제작도 못했습니다만...,2023.05.07.
파이썬학원 : 기본부터 프로젝트까지의 교육과정,파이썬학원 기본부터 프로젝트까지의 교육과정 많고 많은 프로그래밍 언어 중 하나인 파이썬(Python)은 다른 프로그래밍 언어에 비해 난이도가 쉬운 편이고 대다수의 프로그래밍 언어들은 사용하기 적합한 상황이 모두...,2023.07.03.
한번에 보는 Python 문법 정리,이런 언어를 정리하지 않는다는 것은 있을 수 없는 일.이 페이지로 파이썬을 한방에 끝내봅시다. Python 설치는 www.python.org 에서 받아서 설치하시면 됩니다. 보통은 최신버전을...,2023.05.03.
파이썬 공부는 IT전문교육기관 아이티동스쿨에서!,파이썬 패키지는 기초부터 실무강의로 구성이 되어있어 체계적으로 배울 수 있다. 체계적인 커리큘럼으로 진행되고- 파이썬프로그래밍 수행에 있어 핵심 내용 강조하기 때문에 단기간에 마스터 할 수 있다....,2023.05.03.
헤스티아 컨설팅- 파이썬 코딩 EC프로그램 워크샵,EC프로그램 워크샵실리콘밸리 실무자와 함께 하는 HESTIA의 초특급 머신 러닝 워크샵을 소개해드렸습니다. 파이썬 코딩 EC프로그램 워크샵에 참여하여 학생의 데이터 사이언스 역량을 한층 업그레이드하...,2023.04.21.
chatGPT 구글 코랩 활용한 파이썬 웹 크롤링 하는법 (네이버 블로그 예시),우리는 그저 수집할 데이터가 저장된 위치만 인공지능 챗봇에게 알려주고 파이썬 코드로 작성해달라고... chatGPT에 파이썬 크롤링 코드 작성을 요청하기 위해서는 총 2가지 준비물이 필요하다. 첫 번째- URL이다....,인플루언서
데이터안심구역에서 인공지능 빅데이터 분석과 파이썬 무료 교육까지,이러한 자료들에 대한 데이터 분석 및 가공을 하고- 파이썬과 같이 관련된 툴에 대한 강의까지 무료로 수강할... 데이터 분석에 꼭 필요한 파이썬/R 교육의 모든 과정이 포함되도록 커리큘럼을 구성하여 전체적인...,인플루언서
문과 출신이 파이썬 독학해도 개발자 취업 할 수 없는 이유,그래서 오늘도 스스로를 위로하며 '파이썬 기초 환급반'과 같은 강의를 듣는 것이다. 문과 출신이 '실력 있는 개발자'가 되기 위해선 공부 방법을 바꿔야 한다. 개발 외에도 다른 분야를 함께 공부해야 한다. 그리고...,2021.07.07.
프로그래밍 언어 종류- 자바와 파이썬에 대해서,다음은 파이썬입니다. 세계적으로 가장 인기를 얻고 있는 컴퓨터 언어 중 하나인데요. 이해하기가 쉽고... 무엇보다 파이썬은 오픈 소스이고 무료이기 때문에 돈이 들지가 않습니다. 또- 엔진을 따로 설치하지 않아도...,2023.07.07.
아두이노와 파이썬 시리얼 통신 질문,안녕하세요 현재 파이썬과 아두이노의 시리얼 통신을 확인해보고 있는데 잘 안되서 질문드립니다. 현재 파이썬에서 영상을 불러와서 영상이 어떤 영상이냐에 따라...,2023.06.12.
데이터 공학을 위한 파이썬 총정리,파이썬 복습 파이썬은 파이썬 인터프리터(예컨대- python.exe)라고 하는 컴퓨터 응용프로그램의 사용법입니다. 이런 의미에서 컴퓨터 프로그래밍 언어로서 파이썬을 분류할 때 "인터프리터...,2020.05.31.
파이썬학원 언어만 배우지 말고 활용까지 해서 응용하세요,그 중에서도 수요가 가장 많은 언어는 Python(파이썬)이라는 언어입니다. 해당 포스팅에서는 파이썬을 배워볼 수 있는 학원을 소개해드리면서 한번 자세히 알아보는 시간을 가져보겠습니다. 코딩(Coading)에 대해 알아보자...,2023.07.22.
Senior Applied Scientist 파이썬 코딩 테스트 후기- 어플라이드 사이언티스트,그렇다보니 라이브 코딩은 파이썬보다는 SQL을 많이 봤었고 (파이썬을 보는 곳도 많을텐데 테크 회사를 별로 안 지원해서 그런지 파이썬 볼 일이 잘 없었다) 그리고 파이썬을 본다해도 알고리즘 보다는 판다쓰 같은 쉬운...,5일 전
나만의 파이썬 활용스킬 3rd. _PDF 문서 다루기,이어서 PDF 파일의 문서 내용을 읽거나 문서 안의 이미지를 추출하는 방법도 알아본다.사실 안타깝게도 PDF 영역에 있어서는 파이썬의 어느 한 도구도 모든 경우에 만족할 만한 결과를 내지 못한다. 그래서...,2020.07.23.
괴정파이썬학원 - 데이터분석하고싶다면 기초부터 단단하게,안녕하세요 괴정파이썬학원 코리아IT아카데미입니다. 최근에 가장 유행하고 있는 챗GPT가 무엇인지 알고... 프로그램이 파이썬이라는 작은 코딩 언어에서 시작된다는 것을 알고 있으신가요? 파이썬? 파이썬은 C언어- Java와...,6일 전
학점은행제 컴퓨터공학 + 코딩 파이썬 인강! 독학으로 기초 쌓기,학점은행제 컴퓨터공학 + 코딩 파이썬 인강! 독학으로 기초 쌓기 인간의 수명이 늘어난 만큼 평생 직업에... 및 파이썬 기초가 필요하신 분들에게는 트렌디한 기초 강의도 연계해드리고 있어요 학점은행제 컴퓨터공학...,5일 전
웹개발자 취업 국비지원 파이썬학원,오늘은 앞으로 웹개발자 취업 하기 위해서 요즘에 파이썬 명령어가 왜 중요한지 얘기를 해드리려고 합니다. 파이썬학원 알아보시는 분들께 도움 되길 바랍니다! 1. Python 웹개발자 취업 중요한 이유 Python 프로그램 같은...,2023.07.20.
파이썬 공부하려고 노트북 사려는데..,노트북 추천좀 해주셨으면 좋겠습니다.. 학생이다보니 돈도 많지가않아 저렴한걸로 부탁드립니다. 파이썬공부랑 간단한 뭐 롤체..? 메이플 정도 할거같습니다.,2023.07.04.
파이썬독학 초보도 할 수 있어요,저는 개인적으로 파이썬을 추천드리고 싶어요! 파이썬은 TIOBE Index에서 선정한 세계에서 가장 많이 쓰이는 프로그래밍 언어이기 때문입니다. 많이 쓰이는 만큼 이 언어를 쓸 줄 아는 사람을 찾는 곳도 많겠죠? 게다가...,2023.07.21.
파이썬으로 최대공약수 계산기 만들고 값 구하는법,IT 블로거 시월입니다 :) 오늘은 오랜만에 파이썬 (Python) 예제를 가지고 돌아왔습니다! 하지만- 아주아주 쉬운 코드로 이루어져 있으니 전혀 어렵지 않습니다. 오늘 파이썬으로 구현해보려는 것은 바로 "최대공약수...,2023.06.07.
인공지능 시대! 빅데이터 분석 및 파이썬 무료 강의 데이터안심구역 방문기,견학 말고도 직접 데이터 사이언스나 파이썬- R 언어를 배울 수도 있습니다. 강의 또한 당연히 무료로... 초급 과정에서는 데이터 분석을 기반으로 파이썬/R 프로그래밍 언어 수업을 이틀에 걸쳐 수강할 수 있습니다. 코딩...,인플루언서
파이썬 학원 기초 과정부터 국비지원,컴퓨터 국비지원 IT 입문 ~ 취업 파이썬학원 파이썬기초 파이썬국비지원 · IT 개발자(developer) 먼저 개발이란- 단순하게 프로그램을 만들기 위해서 코드를 작성하는 것뿐만이 아닌 해당 프로그램- 서비스를 만들기 위한...,2023.07.17.
나도 코딩의 파이썬 입문,코딩 자율학습 나도코딩의 파이썬 입문 저자 나도코딩 출판 길벗 발매 2023.02.20. 길벗 출판사에서 보내주신 "나도 코딩의 파이썬 입문" 도서를 대충 읽어 보았습니다. "나도 코딩의 파이썬 입문" 도서는 총 436...,인플루언서
[Python(파이썬)] is와 ==의 차이점 및 사용법,오늘은 is 와 ==의 차이점을 알아보고 언제 사용하는 게 적절한지에 대해 알아보겠습니다 파이썬에서... 다음 게시글에서도 개발에 도움되는 정보로 찾아 뵙도록 하겠습니다~! #스마트인재개발원 #파이썬 #변수값비교,2023.07.20.
C언어와 파이썬,중1 C언어로 정올 하는 아입니다 파이썬 금방 익히나요? 학교에서 파이썬으로 하는 대회가 있는데 혼자 독학해서 나갈 수 있을까싶어서요 씨 하면 파이썬은 금방한다고 풍문으로 들은거같은데 현실을 알고싶습니다,2023.07.18.
파이썬에서 eudplib가 임포트 되지 않습니다.,강낭땅콩님의 강좌를 보고 비주얼 스튜디오 코드에서 파이썬과 eudplib 를... 것 같은데- 왜 이런 걸까요? 파이썬 버전은 3.7.1 32bit 이고 경로는 D:\Python-32 폴더에 설치했습니다.,2023.07.02.
파이썬 국비지원 취업할 수 있는 분야 개발자- 빅데이터,파이썬을 사용하는 분야 - 빅데이터 분석가 - 데이터 엔지니어 - 인공지능 개발자 - 백엔드 개발자 위 4가지 분야는 파이썬 국비지원을 수강하면 취업하는 대표적인 직무입니다. 다만 각각 분야에서 요구되는 역량이...,2023.07.10.
파이썬 - localhost 호출 시의 hang 현상,이것을 파이썬 환경과 비교해- --threads 옵션의 값을 32-766으로 설정하거나 --processes를... 글쎄요- 제가 전문적인 파이썬 프로그래머가 아니라서 잘 모르겠는데- 보통 어느...,2023.07.12.
(범위 RGB 인식) 오토핫키에서 파이썬으로 넘어갈 때인가,과부하 걸린 느낌임... 하 인생인생인생~~~~~~~~~~~결국 오토핫키라는 스크립트 언어의 한계를 인정하고 파이썬으로 방법을 찾아보려한다. 파이썬은 컴파일 언어라 더 빠르다고 하네. 또 공부 시작이다.,1시간 전
ChatGPT와 함께 하는 파이썬 공부(4) - 자료구조,"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 위에서 우리는 파이썬의 기본 자료구조인 리스트- 튜플... 이렇게 파이썬의 기본 자료구조는 다양한 종류의 데이터를 저장하고 조작하는 데 사용됩니다. 각...,어제
